Transaction Hash,Date & Time,From Address,To Address,Transaction Type,Asset Contract Address,Asset Symbol / Name,Token ID,Value / Amount,Gas Fee (ETH)
0x9292f62656ba797ae5d467db8d1e577a27dc4bca2bb0db1e1046ed366da1a7b9,2022-12-13 20:21:11,0x77e034c8a1392d99a2c776a6c1593866fee36a33,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,,6.0,
0x0ac4a6129e29e0a81102c760d276ecdc9d4c31b6656917a074cd23b0ad8e4e4f,2022-12-13 20:22:23,0xd620aadabaa20d2af700853c4504028cba7c3333,0x0000000000000000000000000000000000000000,ERC-20 Transfer,0x9c39809dec7f95f5e0713634a4d0701329b3b4d2,variableDebtWBTC,,6.20060106,
0x0ac4a6129e29e0a81102c760d276ecdc9d4c31b6656917a074cd23b0ad8e4e4f,2022-12-13 20:22:23,0xd620aadabaa20d2af700853c4504028cba7c3333,0x9ff58f4ffb29fa2266ab25e75e2a8b3503311656,ERC-20 Transfer,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,,6.20060106,
0x5237a8077de8bc37fd92ae3e8ce6d5a44658a87ecf4f5563115cd7a7b6c20a91,2022-12-15 03:12:35,0x68db5cc604f50bffd7593042a6f936d6d38fd044,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x18b8726878b42db81c679ad55dedf7dd325c0403,$ Please visit acady.site to receive reward.,,143793.0,
0x880658c5f1cc9e3ec96aef56ddbe36ead181888e8c79882c877870b05be28b36,2022-12-15 16:31:59,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,6139.044686345334,
0x50a8c7c647449d0491a28af3786017c0f70e8def1bd1b8aa94db41422ea3f96a,2022-12-15 16:31:59,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,12452.317623356737,
0x23d32d5879da72317ba2bb61b96f1518cf2faa9a1b1a6e10d48eb313e97a50b2,2022-12-15 16:34:11,0xd620aadabaa20d2af700853c4504028cba7c3333,0x21f396dd37a26d7754c513fd916d07f66aa6b81e,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,18591.36230970207,
0x23d32d5879da72317ba2bb61b96f1518cf2faa9a1b1a6e10d48eb313e97a50b2,2022-12-15 16:34:11,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,2767.994574,
0x0a5d0b68f5a17c3b96e999e0e44773ac45b8231debcf77cadc1c51817479a571,2022-12-17 10:27:59,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,6251.377809099562,
0x05bb1dc9be63d21760634133e428a8b7dc44132cff426108ded6aae8aad9466f,2022-12-17 10:28:23,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,11469.671941138444,
